"Date","Close"
2022-04-01,14261.5
2022-04-02,14261.5
2022-04-03,14261.5
2022-04-04,14532.5498046875
2022-04-05,14204.169921875
2022-04-06,13888.8203125
2022-04-07,13897.2998046875
2022-04-08,13711
2022-04-09,13711
2022-04-10,13711
2022-04-11,13411.9599609375
2022-04-12,13371.5703125
2022-04-13,13643.58984375
2022-04-14,13351.080078125
2022-04-15,13351.080078125
2022-04-16,13351.080078125
2022-04-17,13351.080078125
2022-04-18,13332.3603515625
2022-04-19,13619.66015625
2022-04-20,13453.0703125
2022-04-21,13174.650390625
2022-04-22,12839.2900390625
2022-04-23,12839.2900390625
2022-04-24,12839.2900390625
2022-04-25,13004.849609375
2022-04-26,12490.740234375
2022-04-27,12488.9296875
2022-04-28,12871.5302734375
2022-04-29,12334.6396484375
2022-04-30,12334.6396484375
2022-05-01,12334.6396484375
2022-05-02,12536.01953125
2022-05-03,12563.759765625
2022-05-04,12964.8603515625
2022-05-05,12317.6904296875
2022-05-06,12144.66015625
2022-05-07,12144.66015625
2022-05-08,12144.66015625
2022-05-09,11623.25
2022-05-10,11737.669921875
2022-05-11,11364.240234375
2022-05-12,11370.9599609375
2022-05-13,11805
2022-05-14,11805
2022-05-15,11805
2022-05-16,11662.7900390625
2022-05-17,11984.51953125
2022-05-18,11418.150390625
2022-05-19,11388.5
2022-05-20,11354.6201171875
2022-05-21,11354.6201171875
2022-05-22,11354.6201171875
2022-05-23,11535.26953125
2022-05-24,11264.4501953125
2022-05-25,11434.740234375
2022-05-26,11740.650390625
2022-05-27,12131.1298828125
2022-05-28,12131.1298828125
2022-05-29,12131.1298828125
2022-05-30,12131.1298828125
2022-05-31,12081.3896484375
2022-06-01,11994.4599609375
2022-06-02,12316.900390625
2022-06-03,12012.73046875
2022-06-04,12012.73046875
2022-06-05,12012.73046875
2022-06-06,12061.3701171875
2022-06-07,12175.23046875
2022-06-08,12086.26953125
2022-06-09,11754.23046875
2022-06-10,11340.01953125
2022-06-11,11340.01953125
2022-06-12,11340.01953125
2022-06-13,10809.23046875
2022-06-14,10828.349609375
2022-06-15,11099.150390625
2022-06-16,10646.099609375
2022-06-17,10798.349609375
2022-06-18,10798.349609375
2022-06-19,10798.349609375
2022-06-20,10798.349609375
2022-06-21,11069.2998046875
2022-06-22,11053.080078125
2022-06-23,11232.1904296875
2022-06-24,11607.6201171875
2022-06-25,11607.6201171875
2022-06-26,11607.6201171875
2022-06-27,11524.5498046875
2022-06-28,11181.5400390625
2022-06-29,11177.8896484375
2022-06-30,11028.740234375
2022-07-01,11127.849609375
2022-07-02,11127.849609375
2022-07-03,11127.849609375
2022-07-04,11127.849609375
2022-07-05,11322.240234375
2022-07-06,11361.849609375
2022-07-07,11621.349609375
2022-07-08,11635.3095703125
2022-07-09,11635.3095703125
2022-07-10,11635.3095703125
2022-07-11,11372.599609375
2022-07-12,11264.73046875
2022-07-13,11247.580078125
2022-07-14,11251.1904296875
2022-07-15,11452.419921875
2022-07-16,11452.419921875
2022-07-17,11452.419921875
2022-07-18,11360.0498046875
2022-07-19,11713.150390625
2022-07-20,11897.650390625
2022-07-21,12059.6103515625
2022-07-22,11834.1103515625
2022-07-23,11834.1103515625
2022-07-24,11834.1103515625
2022-07-25,11782.669921875
2022-07-26,11562.5703125
2022-07-27,12032.419921875
2022-07-28,12162.58984375
2022-07-29,12390.6904296875
2022-07-30,12390.6904296875
2022-07-31,12390.6904296875
2022-08-01,12368.98046875
2022-08-02,12348.759765625
2022-08-03,12668.16015625
2022-08-04,12720.580078125
2022-08-05,12657.5498046875
2022-08-06,12657.5498046875
2022-08-07,12657.5498046875
2022-08-08,12644.4599609375
2022-08-09,12493.9296875
2022-08-10,12854.7998046875
2022-08-11,12779.91015625
2022-08-12,13047.1904296875
2022-08-13,13047.1904296875
2022-08-14,13047.1904296875
2022-08-15,13128.0498046875
2022-08-16,13102.5498046875
2022-08-17,12938.1201171875
2022-08-18,12965.33984375
2022-08-19,12705.2197265625
2022-08-20,12705.2197265625
2022-08-21,12705.2197265625
2022-08-22,12381.5703125
2022-08-23,12381.2998046875
2022-08-24,12431.5302734375
2022-08-25,12639.26953125
2022-08-26,12141.7099609375
2022-08-27,12141.7099609375
2022-08-28,12141.7099609375
2022-08-29,12017.669921875
2022-08-30,11883.1396484375
2022-08-31,11816.2001953125
2022-09-01,11785.1298828125
2022-09-02,11630.8603515625
2022-09-03,11630.8603515625
2022-09-04,11630.8603515625
2022-09-05,11630.8603515625
2022-09-06,11544.91015625
2022-09-07,11791.900390625
2022-09-08,11862.1298828125
2022-09-09,12112.3095703125
2022-09-10,12112.3095703125
2022-09-11,12112.3095703125
2022-09-12,12266.41015625
2022-09-13,11633.5703125
2022-09-14,11719.6796875
2022-09-15,11552.3603515625
2022-09-16,11448.400390625
2022-09-17,11448.400390625
2022-09-18,11448.400390625
2022-09-19,11535.01953125
2022-09-20,11425.0498046875
2022-09-21,11220.1904296875
2022-09-22,11066.8095703125
2022-09-23,10867.9296875
2022-09-24,10867.9296875
2022-09-25,10867.9296875
2022-09-26,10802.919921875
2022-09-27,10829.5
2022-09-28,11051.6396484375
2022-09-29,10737.509765625
2022-09-30,10575.6201171875
2022-10-01,10575.6201171875
2022-10-02,10575.6201171875
2022-10-03,10815.4296875
2022-10-04,11176.41015625
2022-10-05,11148.6396484375
2022-10-06,11073.3095703125
2022-10-07,10652.400390625
2022-10-08,10652.400390625
2022-10-09,10652.400390625
2022-10-10,10542.099609375
2022-10-11,10426.1904296875
2022-10-12,10417.099609375
2022-10-13,10649.150390625
2022-10-14,10321.3896484375
2022-10-15,10321.3896484375
2022-10-16,10321.3896484375
2022-10-17,10675.7998046875
2022-10-18,10772.400390625
2022-10-19,10680.509765625
2022-10-20,10614.83984375
2022-10-21,10859.7197265625
2022-10-22,10859.7197265625
2022-10-23,10859.7197265625
2022-10-24,10952.6103515625
2022-10-25,11199.1201171875
2022-10-26,10970.990234375
2022-10-27,10792.669921875
2022-10-28,11102.4501953125
2022-10-29,11102.4501953125
2022-10-30,11102.4501953125
2022-10-31,10988.150390625
2022-11-01,10890.849609375
